ID TITLE IMAGE_URL SUMMARY URL
12691 "SpaceX’s Falcon Heavy rocket is scheduled to launch five times next year" https://www.teslarati.com/wp-content/uploads/2021/11/Falcon-Heavy-Arabsat-6A-liftoff-SpaceX-5X-c.jpg "New US military confirmation of a third SpaceX Falcon Heavy contract means that the world’s most powerful operational rocket has five launches..." https://www.teslarati.com/spacex-falcon-heavy-five-launches-2022/
12690 "NASA creates new technology and policy office in leadership reshuffle" https://spacenews.com/wp-content/uploads/2021/09/Screen-Shot-2021-09-28-at-4.11.22-PM.png "NASA Headquarters has created a new office devoted to technology and policy issues, part of a restructuring that includes creating a new space security position at the civil space agency." https://spacenews.com/nasa-creates-new-technology-and-policy-office-in-leadership-reshuffle/
12688 "NASA, Space Force see growing opportunities to use commercial space services" https://spacenews.com/wp-content/uploads/2021/10/orbitalreef.jpg "NASA’s chief economist Alexander MacDonald said aggressive competition for space agency contracts is “one of the most exciting things that we're seeing.”" https://spacenews.com/nasa-space-force-see-growing-opportunities-to-use-commercial-space-services/
12687 "SpaceX wins Skynet launch contract" https://www.teslarati.com/wp-content/uploads/2021/11/Skynet-6A-Copyright-Airbus-edit.jpg "SpaceX has won a contract to launch Skynet on a Falcon 9 rocket in 2025. Instead of a self-aware, apocalyptic AI, though,..." https://www.teslarati.com/spacex-wins-skynet-launch-contract/
12686 "Isotropic Systems announces successful multi-orbit antenna field tests" https://spacenews.com/wp-content/uploads/2021/11/unnamed.jpg "British startup Isotropic Systems announced successful field tests for its flat-panel antenna Nov. 2, after successfully connecting to SES satellites in multiple orbits simultaneously for the first time." https://spacenews.com/isotropic-systems-announces-successful-multi-orbit-antenna-field-tests/
12685 "NASA to Provide Coverage of Human Spaceflight Health Symposium" https://www.nasa.gov/sites/default/files/thumbnails/image/spaceflight_4_everyone_cover_0_0.png?itok=bXtnJtj3 "NASA will provide live coverage of its Spaceflight for Everybody virtual symposium, an event aimed at communicating the current state of NASA spaceflight health knowledge." http://www.nasa.gov/press-release/nasa-to-provide-coverage-of-human-spaceflight-health-symposium
12684 "Teams evaluate Hubble safe mode event, history of telescope leads to JWST" https://www.nasaspaceflight.com/wp-content/uploads/2018/12/2018-12-07-23_28_59-hubble-photos-Google-Search.jpg "Thirty-one years after its launch, and 12 years after its most-recent servicing mission, the NASA/ European Space Agency (ESA) Hubble Space Telescope remains in safe mode on orbit as operators work to determine why the iconic observatory ceased science operations at 02:38 EDT on October 25." https://www.nasaspaceflight.com/2021/11/hubble-update-history/
12683 "NASA to Hold Double Asteroid Redirection Test Launch Preview Briefing" https://www.nasa.gov/sites/default/files/thumbnails/image/dart_header.jpg?itok=UUGQzr4h "NASA will hold a virtual media briefing at 1 p.m. EDT Thursday, Nov. 4, to preview the launch of the agency’s first planetary defense test mission, the Double Asteroid Redirection Test (DART)." http://www.nasa.gov/press-release/nasa-to-hold-double-asteroid-redirection-test-launch-preview-briefing
12240 "SpaceX begins assembling Starbase’s biggest manufacturing building yet" https://www.teslarati.com/wp-content/uploads/2021/11/Starbase-102821-110121-bocachicagal-SPadre-wide-bay-assembly-1-c.jpg "It might not look like much today but SpaceX has begun assembling what is set to become Starbase’s largest Starship manufacturing facility...." https://www.teslarati.com/spacex-starbase-starts-wide-bay-assembly/
12601 "Starlink exits its beta phase, but its production is affected by the global chip shortage" https://www.teslarati.com/wp-content/uploads/2021/06/Starlink-train-dish-NetVault-2-crop-2-c.jpg "SpaceX recently introduced some updates to its official Starlink website. And while the private space company formally dropped the “Beta” wording for..." https://www.teslarati.com/starlink-exits-beta-production-chip-shortage/
